tanggal,waktu,latitude,longitude,kedalaman,magnitudo,daerah
25 November 2022,20:07:30,-6.83,107.09,10,1.7,"Java, Indonesia"
25 November 2022,19:37:20,-6.85,107.1,10,1.5,"Java, Indonesia"
25 November 2022,19:22:26,-6.86,107.08,10,2.7,"Java, Indonesia"
25 November 2022,19:14:31,-6.81,107.1,40,1.6,"Java, Indonesia"
25 November 2022,19:06:06,-6.79,107.09,57,1.2,"Java, Indonesia"
25 November 2022,18:59:31,-0.76,122.06,34,2.5,"Minahassa Peninsula, Sulawesi"
25 November 2022,18:55:08,-7.94,106.85,13,2.7,"Java, Indonesia"
25 November 2022,18:51:04,-8,106.85,26,3.1,"Java, Indonesia"
25 November 2022,18:29:31,-0.13,123.32,113,3.8,"Minahassa Peninsula, Sulawesi"
25 November 2022,18:24:40,-6.76,107.04,46,1.8,"Java, Indonesia"
25 November 2022,18:04:49,-6.79,107.07,45,1.7,"Java, Indonesia"
25 November 2022,16:43:58,-9.18,118.72,49,2.9,"Sumbawa Region, Indonesia"
25 November 2022,16:42:06,-2.56,127.17,19,3,Ceram Sea
25 November 2022,16:31:09,-1.25,126.15,19,3.3,Northern Molucca Sea
25 November 2022,15:13:43,-1.59,126.62,13,3.6,Northern Molucca Sea
25 November 2022,15:11:49,-1.73,127.3,31,3.1,"Halmahera, Indonesia"
25 November 2022,14:48:48,-0.28,122.26,153,3,"Minahassa Peninsula, Sulawesi"
25 November 2022,14:09:25,-6.83,107.05,35,1.8,"Java, Indonesia"
25 November 2022,14:04:53,-6.28,105.71,148,3.7,"Sunda Strait, Indonesia"
25 November 2022,13:25:31,-2.94,101.02,17,4.3,"Southern Sumatra, Indonesia"
25 November 2022,13:15:16,-0.41,99.11,16,2.6,"Southern Sumatra, Indonesia"
25 November 2022,12:51:59,-2.16,139.91,10,2.8,Near North Coast of Irian Jaya
25 November 2022,12:03:10,-6.65,107.1,10,1.6,"Java, Indonesia"
25 November 2022,11:39:59,-6.85,107.07,25,1.7,"Java, Indonesia"
25 November 2022,11:27:38,-6.85,107.1,10,2.4,"Java, Indonesia"
25 November 2022,11:16:06,-9.3,109.87,10,3.5,"South of Java, Indonesia"
25 November 2022,9:57:39,-6.86,106.96,10,1.3,"Java, Indonesia"
25 November 2022,9:53:31,-6.8,107.02,19,1.4,"Java, Indonesia"
25 November 2022,7:09:34,-6.82,107.09,10,1.4,"Java, Indonesia"
25 November 2022,6:24:37,-3.37,128.83,10,2.9,"Seram, Indonesia"
25 November 2022,6:11:51,-8.11,107.89,24,3.1,"Java, Indonesia"
25 November 2022,6:06:59,-2.34,140.08,10,3.6,Near North Coast of Irian Jaya
25 November 2022,6:02:39,-5.21,102.98,19,2.9,"Southern Sumatra, Indonesia"
25 November 2022,5:57:25,-6.91,107.31,10,1.4,"Java, Indonesia"
25 November 2022,5:53:27,-6.91,107.15,10,1.4,"Java, Indonesia"
25 November 2022,4:38:59,-6.88,107.04,34,1.4,"Java, Indonesia"
25 November 2022,4:23:10,-8.86,116.82,10,2.1,"Sumbawa Region, Indonesia"
25 November 2022,3:45:41,-8.48,123.49,136,3.5,"Flores Region, Indonesia"
25 November 2022,3:27:02,-6.84,107.09,45,1.5,"Java, Indonesia"
25 November 2022,3:11:25,-3.18,98.15,77,2,"Northern Sumatra, Indonesia"
25 November 2022,2:49:53,-1.67,127.3,77,3.5,"Halmahera, Indonesia"
25 November 2022,2:40:51,-4.19,96.01,51,2.6,"Northern Sumatra, Indonesia"
25 November 2022,2:36:54,-1.4,127.06,89,3.5,"Halmahera, Indonesia"
25 November 2022,2:35:18,-6.46,104.13,19,3.8,"Sunda Strait, Indonesia"
25 November 2022,1:33:30,-6.88,107.03,30,1.5,"Java, Indonesia"
24 November 2022,23:31:33,-9.45,115.7,31,3.3,"South of Bali, Indonesia"
24 November 2022,21:34:23,-8.12,118.51,168,2.9,"Sumbawa Region, Indonesia"
24 November 2022,21:29:34,-6.85,107.09,10,1.9,"Java, Indonesia"
24 November 2022,21:20:36,-6.85,107.09,10,1.9,"Java, Indonesia"
24 November 2022,21:08:47,-8.17,115.98,251,3.2,"Bali Region, Indonesia"
24 November 2022,21:05:45,-6.84,107.05,10,3.1,"Java, Indonesia"
24 November 2022,20:58:24,-6.86,107.06,10,3.2,"Java, Indonesia"
24 November 2022,20:53:16,-5.47,102.95,35,3.2,"Southern Sumatra, Indonesia"
24 November 2022,20:51:00,-6.86,107.07,10,3.4,"Java, Indonesia"
24 November 2022,20:36:32,-4.05,122.67,10,2.8,"Sulawesi, Indonesia"
24 November 2022,20:26:58,-2.32,128.82,10,3.4,"Halmahera, Indonesia"
24 November 2022,20:21:36,-6.84,107.07,10,2.9,"Java, Indonesia"
24 November 2022,20:04:36,-6.98,107.06,10,3.2,"Java, Indonesia"
24 November 2022,19:58:13,-6.84,107.09,10,1.9,"Java, Indonesia"
24 November 2022,19:39:03,-2.72,125.77,95,4.1,"Talaud Islands, Indonesia"
24 November 2022,19:35:08,-2.88,127.17,10,3.3,Ceram Sea
24 November 2022,19:19:12,-6.87,107.13,18,1.4,"Java, Indonesia"
24 November 2022,18:58:19,-6.88,107.15,15,1.2,"Java, Indonesia"
24 November 2022,18:44:16,-6.86,107.05,10,4.2,"Java, Indonesia"
24 November 2022,18:42:52,-6.87,107.05,10,3.1,"Java, Indonesia"
24 November 2022,18:35:39,-6.8,107.09,10,2.1,"Java, Indonesia"
24 November 2022,18:31:00,-6.81,107.09,10,1.9,"Java, Indonesia"
24 November 2022,18:04:55,-0.44,119.89,10,3.1,"Minahassa Peninsula, Sulawesi"
24 November 2022,18:02:32,-6.85,107.09,10,1.4,"Java, Indonesia"
24 November 2022,17:53:35,-6.85,107.05,11,2.2,"Java, Indonesia"
24 November 2022,16:10:04,-6.84,107.1,10,1.8,"Java, Indonesia"
24 November 2022,14:37:00,-4.45,102.66,41,2.9,"Southern Sumatra, Indonesia"
24 November 2022,14:09:39,-3.05,139.66,10,3.3,"Irian Jaya, Indonesia"
24 November 2022,14:04:26,-6.78,107.1,10,2.6,"Java, Indonesia"
24 November 2022,13:21:17,-0.03,123.23,146,4.1,"Minahassa Peninsula, Sulawesi"
24 November 2022,12:57:37,-3.75,129.44,93,4.5,"Seram, Indonesia"
24 November 2022,11:07:56,-8.24,122.85,10,2.4,"Flores Region, Indonesia"
24 November 2022,10:05:26,-6.77,107.08,15,2.3,"Java, Indonesia"
24 November 2022,9:13:05,-6.79,107.09,16,1.8,"Java, Indonesia"
24 November 2022,8:32:28,-6.83,107.13,21,1.9,"Java, Indonesia"
24 November 2022,8:26:18,-6.82,107.11,13,1.7,"Java, Indonesia"
24 November 2022,8:03:35,-2.63,121.84,10,3.3,"Sulawesi, Indonesia"
24 November 2022,7:24:29,-6.82,107.1,11,2.1,"Java, Indonesia"
24 November 2022,6:39:58,-6.83,107.1,17,2.2,"Java, Indonesia"
24 November 2022,6:39:21,-2.58,121.84,10,3.6,"Sulawesi, Indonesia"
24 November 2022,6:08:57,-0,123.42,30,3.4,"Minahassa Peninsula, Sulawesi"
24 November 2022,5:49:15,-9.32,109.78,10,3.9,"South of Java, Indonesia"
24 November 2022,5:05:19,-3.73,128.46,15,2.7,"Seram, Indonesia"
24 November 2022,4:56:01,-3.74,128.48,14,3.4,"Seram, Indonesia"
24 November 2022,4:51:32,-3.77,128.5,10,4.1,"Seram, Indonesia"
24 November 2022,3:04:40,-6.83,107.07,26,2.2,"Java, Indonesia"
24 November 2022,2:23:29,-6.94,107.31,31,1.9,"Java, Indonesia"
24 November 2022,2:11:28,-4.28,100.39,39,5.1,"Southwest of Sumatra, Indonesia"
24 November 2022,2:00:07,-6.85,107.12,29,2,"Java, Indonesia"
24 November 2022,1:33:43,-8.87,112.46,38,3.5,"Java, Indonesia"
23 November 2022,23:11:26,-6.8,107.06,19,1.8,"Java, Indonesia"
23 November 2022,22:55:25,-9.4,114.04,30,3.6,"South of Bali, Indonesia"
23 November 2022,22:54:18,-9.42,114.05,34,3.8,"South of Bali, Indonesia"
23 November 2022,22:33:09,-0.37,121.14,53,2.7,"Minahassa Peninsula, Sulawesi"
23 November 2022,21:50:15,-6.84,107.11,12,2.2,"Java, Indonesia"
23 November 2022,21:48:18,-6.77,107.14,21,2.2,"Java, Indonesia"
23 November 2022,21:20:55,-6.81,107.09,11,2.1,"Java, Indonesia"
23 November 2022,20:45:59,-6.84,107.06,18,2,"Java, Indonesia"
23 November 2022,20:44:26,-3.46,140.41,15,3.2,"Irian Jaya, Indonesia"
23 November 2022,20:04:02,-3,128.48,210,4,"North of Halmahera, Indonesia"
23 November 2022,19:59:30,-6.85,107.07,10,2.2,"Java, Indonesia"
23 November 2022,19:34:43,-6.84,107.09,10,2.4,"Java, Indonesia"
23 November 2022,19:00:23,-6.34,130.24,145,4.1,Banda Sea
23 November 2022,18:41:04,-6.83,107.1,14,1.8,"Java, Indonesia"
23 November 2022,18:38:36,-6.81,107.1,10,2.2,"Java, Indonesia"
23 November 2022,18:36:58,-2.01,129.33,24,4,"Halmahera, Indonesia"
23 November 2022,18:30:09,-6.8,107.1,10,2.2,"Java, Indonesia"
23 November 2022,18:26:48,-6.83,107.1,10,2,"Java, Indonesia"
23 November 2022,17:58:09,-10.45,123.83,14,3.4,Timor Region
23 November 2022,16:56:13,-6.77,107.09,11,2.2,"Java, Indonesia"
23 November 2022,16:28:33,-4.93,134.07,11,4.2,"Irian Jaya Region, Indonesia"
23 November 2022,15:44:04,-6.79,107.09,13,2.5,"Java, Indonesia"
23 November 2022,15:30:49,-9.15,109.92,21,4,"South of Java, Indonesia"
23 November 2022,15:04:44,-7.83,118.53,19,3.3,Flores Sea
23 November 2022,15:02:25,-9.08,109.87,33,4.5,"South of Java, Indonesia"
23 November 2022,14:49:06,-6.79,107.1,12,2.4,"Java, Indonesia"
23 November 2022,14:22:27,-0.29,132.32,14,4.2,"Irian Jaya Region, Indonesia"
23 November 2022,13:27:28,-9.18,109.88,10,4.8,"South of Java, Indonesia"
23 November 2022,13:11:12,-1.95,138.26,20,3.7,Near North Coast of Irian Jaya
23 November 2022,12:35:14,-5.34,130.13,196,3.7,Banda Sea
23 November 2022,12:29:24,-8.76,111.41,10,3.6,"Java, Indonesia"
23 November 2022,12:25:36,-6.83,107.08,13,2.1,"Java, Indonesia"
23 November 2022,11:49:44,-6.83,107.05,10,3.5,"Java, Indonesia"
23 November 2022,11:22:55,-6.78,107.1,10,1.6,"Java, Indonesia"
23 November 2022,10:54:11,-6.73,106.71,10,3.1,"Java, Indonesia"
23 November 2022,10:45:00,-7.77,113.6,10,4.2,"Java, Indonesia"
23 November 2022,9:54:57,-2.27,129.19,10,4.6,"Halmahera, Indonesia"
23 November 2022,8:52:40,-0.95,122.98,11,3.1,"Minahassa Peninsula, Sulawesi"
23 November 2022,8:38:17,-6.81,107.08,10,2.5,"Java, Indonesia"
23 November 2022,8:17:34,-6.84,107.08,19,2,"Java, Indonesia"
23 November 2022,5:34:28,-10.36,123.82,12,3.3,Timor Region
23 November 2022,5:08:30,-6.83,107.11,10,2.8,"Java, Indonesia"
23 November 2022,4:53:41,-1.16,127.32,12,2.8,"Halmahera, Indonesia"
23 November 2022,4:49:52,-0.9,121.66,10,2.9,"Minahassa Peninsula, Sulawesi"
23 November 2022,4:41:43,-6.83,107.07,5,3.9,"Java, Indonesia"
23 November 2022,3:54:25,-9.69,120.08,40,2.9,"Sumba Region, Indonesia"
23 November 2022,2:17:08,-2.33,129.12,22,4.2,"Halmahera, Indonesia"
23 November 2022,1:28:49,-10.3,123.8,12,3.1,Timor Region
23 November 2022,0:07:19,-0.97,122.47,12,1.7,"Minahassa Peninsula, Sulawesi"
23 November 2022,0:05:30,-0.49,123.26,17,2.8,"Minahassa Peninsula, Sulawesi"
22 November 2022,22:58:26,-2.43,99.02,144,3.1,"Northern Sumatra, Indonesia"
22 November 2022,22:52:13,-1.98,127.05,103,3.3,"Halmahera, Indonesia"
22 November 2022,22:46:58,-8.32,115.93,16,3.5,"Bali Region, Indonesia"
22 November 2022,22:11:31,-0.31,122.4,145,2.8,"Minahassa Peninsula, Sulawesi"
22 November 2022,22:05:04,-0.97,131.39,13,2.7,"Irian Jaya Region, Indonesia"
22 November 2022,20:27:04,-6.85,107.08,10,2.6,"Java, Indonesia"
22 November 2022,20:19:58,-6.83,107.1,10,2.3,"Java, Indonesia"
22 November 2022,20:15:53,-8.8,119.51,10,3.1,"Flores Region, Indonesia"
22 November 2022,19:53:54,-3.52,128.2,93,4.1,"Seram, Indonesia"
22 November 2022,19:08:27,-6.85,107.06,10,2.8,"Java, Indonesia"
22 November 2022,18:54:27,-8.74,112.72,112,3.5,"Java, Indonesia"
22 November 2022,16:24:46,-5.53,131.03,98,5.3,Banda Sea
22 November 2022,14:54:04,-7.89,107.04,16,4.2,"Java, Indonesia"
22 November 2022,14:48:53,-2.48,120.97,10,2.6,"Sulawesi, Indonesia"
22 November 2022,13:35:43,-0.06,126.73,25,3.1,Northern Molucca Sea
22 November 2022,12:50:41,-10.14,123.81,10,3.3,Timor Region
22 November 2022,12:22:27,-6.86,107.09,10,2.4,"Java, Indonesia"
22 November 2022,11:39:37,-6.86,107.09,10,2.9,"Java, Indonesia"
22 November 2022,11:09:19,-1.85,128.55,65,3.7,"Halmahera, Indonesia"
22 November 2022,11:04:05,-10.36,123.79,12,2.9,Timor Region
22 November 2022,10:44:57,-6.77,107.15,10,2.5,"Java, Indonesia"
22 November 2022,10:33:11,-6.81,107.07,10,2.8,"Java, Indonesia"
22 November 2022,9:14:04,-10.32,123.78,10,3.6,Timor Region
22 November 2022,8:35:08,-3.32,135.36,24,3.7,"Irian Jaya Region, Indonesia"
22 November 2022,7:53:10,-0.6,122.21,10,3.1,"Minahassa Peninsula, Sulawesi"
22 November 2022,7:52:45,-6.8,107.11,10,2.4,"Java, Indonesia"
22 November 2022,7:20:24,-6.81,107.09,10,2.7,"Java, Indonesia"
22 November 2022,6:09:34,-2.85,128.37,203,4,"Halmahera, Indonesia"
22 November 2022,5:13:03,-4.94,127.37,121,5,"Talaud Islands, Indonesia"
22 November 2022,4:12:52,-6.83,107.1,10,2.5,"Java, Indonesia"
22 November 2022,3:58:52,-6.8,107.1,10,2.5,"Java, Indonesia"
22 November 2022,2:39:08,-2.88,122.3,10,4,"Sulawesi, Indonesia"
22 November 2022,0:58:22,-6.84,107.07,12,2.4,"Java, Indonesia"
22 November 2022,0:36:45,-6.84,107.08,10,3.4,"Java, Indonesia"
22 November 2022,0:15:31,-8.36,119.56,174,3.5,"Flores Region, Indonesia"
22 November 2022,0:02:39,-6.84,107.06,13,2,"Java, Indonesia"
21 November 2022,23:46:46,-6.85,107.15,18,2,"Java, Indonesia"
21 November 2022,21:38:06,-3.76,125.97,51,3.7,"Talaud Islands, Indonesia"
21 November 2022,21:29:18,-6.8,107.12,10,2.1,"Java, Indonesia"
21 November 2022,20:49:39,-6.84,107.08,10,2.2,"Java, Indonesia"
21 November 2022,20:46:03,-1.26,99.43,10,2,"Northern Sumatra, Indonesia"
21 November 2022,20:25:49,-6.83,107.12,17,2,"Java, Indonesia"
21 November 2022,20:01:41,-6.68,130.13,145,3.4,Banda Sea
21 November 2022,19:57:30,-6.79,107.14,18,2.2,"Java, Indonesia"
21 November 2022,19:39:50,-3.61,128.49,10,1.8,"Seram, Indonesia"
21 November 2022,19:24:42,-2.84,127.99,13,2.4,Ceram Sea
21 November 2022,18:32:18,-6.8,107.1,10,2.7,"Java, Indonesia"
21 November 2022,18:10:45,-4.54,130.35,115,4.6,Banda Sea
21 November 2022,18:00:47,-8.85,113.47,10,3.5,"Java, Indonesia"
21 November 2022,17:53:11,-7.9,107.23,33,2.7,"Java, Indonesia"
21 November 2022,17:34:02,-6.86,107.09,17,2.2,"Java, Indonesia"
21 November 2022,17:17:15,-6.85,107.08,10,2.2,"Java, Indonesia"
21 November 2022,17:12:53,-6.84,107.09,10,2.4,"Java, Indonesia"
21 November 2022,15:48:07,-1.69,136,16,2.9,"Irian Jaya Region, Indonesia"
21 November 2022,15:16:17,-2.05,98.98,10,2.5,"Northern Sumatra, Indonesia"
21 November 2022,15:09:23,-3.45,127.24,45,4.1,"Seram, Indonesia"
21 November 2022,14:46:17,-6.82,107.15,10,2.4,"Java, Indonesia"
21 November 2022,14:16:27,-1.72,135.94,10,4.8,"Irian Jaya Region, Indonesia"
21 November 2022,14:14:27,-7.03,106,76,3.1,"Java, Indonesia"
21 November 2022,14:07:19,-6.82,107.09,10,2.3,"Java, Indonesia"
21 November 2022,13:50:46,-4.81,96.16,12,2.3,"Northern Sumatra, Indonesia"
21 November 2022,13:48:33,-6.85,107.08,10,3,"Java, Indonesia"
21 November 2022,13:42:59,-6.84,107.15,10,2.6,"Java, Indonesia"
21 November 2022,13:35:34,-6.79,107.14,10,2.4,"Java, Indonesia"
21 November 2022,13:25:51,-6.81,107.1,10,2.4,"Java, Indonesia"
21 November 2022,13:19:29,-6.8,107.1,10,2.8,"Java, Indonesia"
21 November 2022,13:17:26,-6.8,107.11,10,2.2,"Java, Indonesia"
21 November 2022,13:14:36,-6.84,107.1,10,2.2,"Java, Indonesia"
21 November 2022,13:13:41,-8.3,116.47,10,2.7,"Sumbawa Region, Indonesia"
21 November 2022,13:07:56,-6.82,107.12,10,3.1,"Java, Indonesia"
21 November 2022,13:06:18,-6.83,107.08,10,2.4,"Java, Indonesia"
21 November 2022,12:56:00,-6.82,107.09,10,2.5,"Java, Indonesia"
21 November 2022,12:54:30,-6.79,107.08,10,2.6,"Java, Indonesia"
21 November 2022,12:48:16,-6.82,107.07,12,2.4,"Java, Indonesia"
21 November 2022,12:40:51,-3.31,128.76,10,2.4,"Seram, Indonesia"
21 November 2022,12:34:16,-6.85,107.08,14,2.1,"Java, Indonesia"
21 November 2022,12:28:30,-6.81,107.05,10,2.3,"Java, Indonesia"
21 November 2022,11:49:16,-6.82,107.07,10,2.3,"Java, Indonesia"
21 November 2022,11:35:29,-2.06,125.78,16,3.9,Ceram Sea
21 November 2022,11:28:49,-2.92,119.38,10,2.1,"Sulawesi, Indonesia"
21 November 2022,11:20:41,-2.2,120.5,10,2.8,"Sulawesi, Indonesia"
21 November 2022,11:10:19,-6.85,107.07,10,3.2,"Java, Indonesia"
21 November 2022,11:00:15,-6.83,107.1,10,2.1,"Java, Indonesia"
21 November 2022,10:14:04,-10.53,123.84,46,3.7,Timor Region
21 November 2022,9:46:17,-6.86,107.07,10,3.1,"Java, Indonesia"
21 November 2022,9:32:04,-6.82,107.13,11,2.3,"Java, Indonesia"
21 November 2022,9:24:53,-6.85,107.05,10,3.3,"Java, Indonesia"
21 November 2022,9:23:05,-6.83,107.06,10,3.5,"Java, Indonesia"
21 November 2022,9:04:19,-6.85,107.07,10,2.9,"Java, Indonesia"
21 November 2022,8:42:19,-6.86,107.07,10,2.3,"Java, Indonesia"
21 November 2022,8:41:47,-10.33,123.78,10,3.1,Timor Region
21 November 2022,8:38:18,-6.84,107.11,10,1.6,"Java, Indonesia"
21 November 2022,8:33:21,-6.79,107.18,10,2.5,"Java, Indonesia"
21 November 2022,8:24:49,-6.83,107.11,10,2.3,"Java, Indonesia"
21 November 2022,8:23:47,-6.8,107.1,10,2,"Java, Indonesia"
21 November 2022,8:07:56,-6.88,107.08,17,1.7,"Java, Indonesia"
21 November 2022,8:03:08,-6.82,107.1,10,3.4,"Java, Indonesia"
21 November 2022,8:00:17,-9.09,110.5,10,3.2,"South of Java, Indonesia"
21 November 2022,7:56:59,-6.82,107.1,11,2.5,"Java, Indonesia"
21 November 2022,7:53:45,-6.84,107.08,10,3,"Java, Indonesia"
21 November 2022,7:51:45,-6.83,107.08,10,2.8,"Java, Indonesia"
21 November 2022,7:41:50,-6.81,107.12,10,1.8,"Java, Indonesia"
21 November 2022,7:29:29,-6.83,107.1,10,2.3,"Java, Indonesia"
21 November 2022,7:27:16,-6.83,107.1,10,2.1,"Java, Indonesia"
21 November 2022,7:25:02,-6.86,107.14,10,1.8,"Java, Indonesia"
21 November 2022,7:23:24,-1.5,99.26,10,2.7,"Northern Sumatra, Indonesia"
21 November 2022,7:20:16,-6.86,107.12,10,2.5,"Java, Indonesia"
21 November 2022,7:18:37,-6.81,107.08,13,2.7,"Java, Indonesia"
21 November 2022,7:17:09,-6.85,107.1,10,2.7,"Java, Indonesia"
21 November 2022,7:16:01,-6.82,107.1,10,2.4,"Java, Indonesia"
21 November 2022,7:12:58,-6.84,107.11,10,2.2,"Java, Indonesia"
21 November 2022,7:08:29,-6.83,107.07,10,2.9,"Java, Indonesia"
21 November 2022,7:01:26,-6.83,107.06,10,2.3,"Java, Indonesia"
21 November 2022,6:58:16,-6.82,107.11,10,2.3,"Java, Indonesia"
21 November 2022,6:52:26,-6.8,107.16,10,2.8,"Java, Indonesia"
21 November 2022,6:48:55,-6.83,107.08,10,2.6,"Java, Indonesia"
21 November 2022,6:45:54,-6.81,107.1,10,3,"Java, Indonesia"
21 November 2022,6:43:07,-6.83,107.06,10,3.6,"Java, Indonesia"
21 November 2022,6:39:10,-6.86,107.09,10,2.4,"Java, Indonesia"
21 November 2022,6:35:56,-6.8,107.09,12,2.7,"Java, Indonesia"
21 November 2022,6:28:51,-6.83,107.11,10,3.4,"Java, Indonesia"
21 November 2022,6:28:12,-6.82,107.09,10,3.2,"Java, Indonesia"
21 November 2022,6:27:41,-6.86,107.1,10,3.6,"Java, Indonesia"
21 November 2022,6:27:01,-6.86,107.09,14,3.1,"Java, Indonesia"
21 November 2022,6:26:28,-6.8,107.11,10,3.5,"Java, Indonesia"
21 November 2022,6:25:30,-6.84,107.1,10,3.6,"Java, Indonesia"
21 November 2022,6:24:42,-6.85,107.1,10,4.1,"Java, Indonesia"
21 November 2022,6:24:00,-6.81,107.1,10,4.3,"Java, Indonesia"
21 November 2022,6:21:10,-6.85,107.03,11,5.6,"Java, Indonesia"
21 November 2022,5:47:00,-2.54,121.81,10,3.9,"Sulawesi, Indonesia"
21 November 2022,3:55:45,-2.54,121.14,10,2.8,"Sulawesi, Indonesia"
21 November 2022,3:55:08,-2.51,121.13,10,2.6,"Sulawesi, Indonesia"
21 November 2022,3:04:47,-0.41,121.9,162,2.1,"Minahassa Peninsula, Sulawesi"
21 November 2022,2:03:10,-2.05,127.26,28,3.2,Northern Molucca Sea
21 November 2022,1:41:05,-4.95,100.74,25,4.9,"Southwest of Sumatra, Indonesia"
21 November 2022,1:24:14,-9.28,113.53,10,4.2,"South of Java, Indonesia"
21 November 2022,0:35:52,-0.91,122.89,30,4.8,"Minahassa Peninsula, Sulawesi"
20 November 2022,22:01:22,-7.53,125.82,409,4.3,Banda Sea
20 November 2022,21:47:28,-6.26,103.35,10,3.5,"Southwest of Sumatra, Indonesia"
20 November 2022,20:29:54,-2.9,119.41,11,2.5,"Sulawesi, Indonesia"
20 November 2022,20:09:56,-2.19,124.84,237,3.9,Celebes Sea
20 November 2022,19:21:46,-1.06,126.15,10,3.2,Northern Molucca Sea
20 November 2022,19:19:03,-8.02,117.84,26,2.7,"Sumbawa Region, Indonesia"
20 November 2022,18:44:23,-4.87,100.72,10,4.1,"Southwest of Sumatra, Indonesia"
20 November 2022,18:32:44,-0.98,126.84,13,3.8,Northern Molucca Sea
20 November 2022,16:54:09,-8.27,118.03,10,2.6,"Sumbawa Region, Indonesia"
20 November 2022,16:40:02,-10.43,123.85,26,3.5,Timor Region
20 November 2022,16:27:05,-10.49,123.89,24,3.1,Timor Region
20 November 2022,16:16:34,-10.53,123.82,64,3.7,Timor Region
20 November 2022,15:30:17,-10.46,123.86,24,4.2,Timor Region
20 November 2022,14:34:58,-0.11,123.45,106,2.7,"Minahassa Peninsula, Sulawesi"
20 November 2022,14:34:33,-10.46,123.89,25,3.6,Timor Region
20 November 2022,14:30:00,-8.59,119.46,128,2.8,"Flores Region, Indonesia"
20 November 2022,14:20:32,-8.26,118.04,11,2.5,"Sumbawa Region, Indonesia"
20 November 2022,14:14:57,-8.25,116.47,11,2.6,"Sumbawa Region, Indonesia"
20 November 2022,13:49:24,-10.49,123.8,56,5.2,Timor Region
20 November 2022,13:33:22,-5.93,128.79,303,4,Banda Sea
20 November 2022,13:21:57,-8.38,116.04,10,3.9,"Sumbawa Region, Indonesia"
20 November 2022,11:38:14,-0.08,123.33,125,3.5,"Minahassa Peninsula, Sulawesi"
20 November 2022,9:54:44,-3.13,102.31,10,3.1,"Southern Sumatra, Indonesia"
20 November 2022,9:27:44,-5.66,125.95,85,4.6,"Mindanao, Philippines"
20 November 2022,7:06:10,-2.86,129.98,10,3.3,"Seram, Indonesia"
20 November 2022,6:30:36,-0.27,122.33,138,2.8,"Minahassa Peninsula, Sulawesi"
20 November 2022,6:05:07,-3.13,102.33,10,3,"Southern Sumatra, Indonesia"
20 November 2022,4:22:11,-7.92,122.51,283,4.6,Flores Sea
20 November 2022,2:54:26,-9.66,116.52,32,2.9,"Sumbawa Region, Indonesia"
20 November 2022,2:28:31,-8.28,117.94,191,2.3,"Sumbawa Region, Indonesia"
